日期: 2026-01-15 ,今开: 186.240, 今收: 186.790, 今天最高: 189.440, 今天最低: 186.070, 成交量: 206188642, 成交额: 38739187712.000, 振幅: 1.84,涨跌百分比开始值: 2.14, 涨跌百分比的结束值: 3.910, 换手率: 0.85
日期: 2026-02-03 ,今开: 185.980, 今收: 180.080, 今天最高: 186.010, 今天最低: 175.970, 成交量: 204019589, 成交额: 36760499456.000, 振幅: 5.42,涨跌百分比开始值: -2.84, 涨跌百分比的结束值: -5.270, 换手率: 0.84
日期: 2026-02-04 ,今开: 179.200, 今收: 173.930, 今天最高: 179.320, 今天最低: 171.650, 成交量: 207014116, 成交额: 36279540480.000, 振幅: 4.26,涨跌百分比开始值: -3.42, 涨跌百分比的结束值: -6.150, 换手率: 0.85
日期: 2026-02-05 ,今开: 174.665, 今收: 171.620, 今天最高: 176.555, 今天最低: 170.770, 成交量: 206312890, 成交额: 35809096448.000, 振幅: 3.33,涨跌百分比开始值: -1.33, 涨跌百分比的结束值: -2.310, 换手率: 0.85
日期: 2026-02-06 ,今开: 176.430, 今收: 185.150, 今天最高: 186.740, 今天最低: 174.340, 成交量: 231346241, 成交额: 42340058368.000, 振幅: 7.23,涨跌百分比开始值: 7.88, 涨跌百分比的结束值: 13.530, 换手率: 0.95
日期: 2026-02-09 ,今开: 184.000, 今收: 189.780, 今天最高: 193.400, 今天最低: 183.690, 成交量: 196387351, 成交额: 37419690496.000, 振幅: 5.24,涨跌百分比开始值: 2.50, 涨跌百分比的结束值: 4.630, 换手率: 0.81
日期: 2026-02-10 ,今开: 191.120, 今收: 188.280, 今天最高: 192.220, 今天最低: 187.860, 成交量: 136764825, 成交额: 25906506496.000, 振幅: 2.30,涨跌百分比开始值: -0.79, 涨跌百分比的结束值: -1.500, 换手率: 0.56
日期: 2026-02-11 ,今开: 192.190, 今收: 189.790, 今天最高: 193.000, 今天最低: 188.510, 成交量: 144192685, 成交额: 27566998016.000, 振幅: 2.38,涨跌百分比开始值: 0.80, 涨跌百分比的结束值: 1.510, 换手率: 0.59
日期: 2026-02-12 ,今开: 192.770, 今收: 186.680, 今天最高: 193.350, 今天最低: 186.250, 成交量: 189932491, 成交额: 35946903296.000, 振幅: 3.74,涨跌百分比开始值: -1.64, 涨跌百分比的结束值: -3.110, 换手率: 0.78
日期: 2026-02-13 ,今开: 187.215, 今收: 182.550, 今天最高: 187.240, 今天最低: 181.330, 成交量: 161888021, 成交额: 29728624384.000, 振幅: 3.17,涨跌百分比开始值: -2.21, 涨跌百分比的结束值: -4.130, 换手率: 0.67
日期: 2026-02-17 ,今开: 181.490, 今收: 184.710, 今天最高: 186.890, 今天最低: 178.920, 成交量: 162276860, 成交额: 29798747136.000, 振幅: 4.37,涨跌百分比开始值: 1.18, 涨跌百分比的结束值: 2.160, 换手率: 0.67
日期: 2026-02-18 ,今开: 188.490, 今收: 187.720, 今天最高: 190.110, 今天最低: 186.500, 成交量: 164749125, 成交额: 31069136640.000, 振幅: 1.95,涨跌百分比开始值: 1.63, 涨跌百分比的结束值: 3.010, 换手率: 0.68
日期: 2026-02-19 ,今开: 186.795, 今收: 187.640, 今天最高: 188.170, 今天最低: 185.400, 成交量: 126554526, 成交额: 23680516608.000, 振幅: 1.48,涨跌百分比开始值: -0.04, 涨跌百分比的结束值: -0.080, 换手率: 0.52
日期: 2026-02-20 ,今开: 186.310, 今收: 189.560, 今天最高: 190.070, 今天最低: 185.678, 成交量: 178422337, 成交额: 33705094144.000, 振幅: 2.34,涨跌百分比开始值: 1.02, 涨跌百分比的结束值: 1.920, 换手率: 0.73
日期: 2026-02-23 ,今开: 191.140, 今收: 191.290, 今天最高: 193.690, 今天最低: 189.315, 成交量: 171584839, 成交额: 32831754752.000, 振幅: 2.31,涨跌百分比开始值: 0.91, 涨跌百分比的结束值: 1.730, 换手率: 0.71
日期: 2026-02-24 ,今开: 191.230, 今收: 192.590, 今天最高: 193.510, 今天最低: 187.140, 成交量: 175123602, 成交额: 33633192704.000, 振幅: 3.33,涨跌百分比开始值: 0.68, 涨跌百分比的结束值: 1.300, 换手率: 0.72
日期: 2026-02-25 ,今开: 194.190, 今收: 195.300, 今天最高: 197.370, 今天最低: 193.530, 成交量: 250637102, 成交额: 49300579584.000, 振幅: 1.99,涨跌百分比开始值: 1.41, 涨跌百分比的结束值: 2.710, 换手率: 1.03
日期: 2026-02-26 ,今开: 194.010, 今收: 184.630, 今天最高: 194.030, 今天最低: 184.055, 成交量: 360807904, 成交额: 67579404800.000, 振幅: 5.11,涨跌百分比开始值: -5.46, 涨跌百分比的结束值: -10.670, 换手率: 1.48
日期: 2026-02-27 ,今开: 180.990, 今收: 176.930, 今天最高: 182.330, 今天最低: 176.120, 成交量: 311636496, 成交额: 55882286080.000, 振幅: 3.36,涨跌百分比开始值: -4.17, 涨跌百分比的结束值: -7.700, 换手率: 1.28
日期: 2026-03-02 ,今开: 174.750, 今收: 182.220, 今天最高: 183.200, 今天最低: 174.380, 成交量: 209095331, 成交额: 37848608512.000, 振幅: 4.99,涨跌百分比开始值: 2.99, 涨跌百分比的结束值: 5.290, 换手率: 0.86
日期: 2026-03-03 ,今开: 178.230, 今收: 179.790, 今天最高: 180.640, 今天最低: 176.660, 成交量: 178099430, 成交额: 31944717568.000, 振幅: 2.18,涨跌百分比开始值: -1.33, 涨跌百分比的结束值: -2.430, 换手率: 0.73
日期: 2026-03-04 ,今开: 180.180, 今收: 182.780, 今天最高: 184.440, 今天最低: 179.800, 成交量: 177731198, 成交额: 32477944320.000, 振幅: 2.58,涨跌百分比开始值: 1.66, 涨跌百分比的结束值: 2.990, 换手率: 0.73
日期: 2026-03-05 ,今开: 180.910, 今收: 183.080, 今天最高: 183.800, 今天最低: 177.620, 成交量: 198779729, 成交额: 36102206720.000, 振幅: 3.38,涨跌百分比开始值: 0.16, 涨跌百分比的结束值: 0.300, 换手率: 0.82
日期: 2026-03-06 ,今开: 179.580, 今收: 177.560, 今天最高: 182.496, 今天最低: 176.560, 成交量: 189021949, 成交额: 34028862208.000, 振幅: 3.24,涨跌百分比开始值: -3.02, 涨跌百分比的结束值: -5.520, 换手率: 0.78
日期: 2026-03-09 ,今开: 176.570, 今收: 182.390, 今天最高: 182.650, 今天最低: 175.300, 成交量: 177213588, 成交额: 31859601408.000, 振幅: 4.14,涨跌百分比开始值: 2.72, 涨跌百分比的结束值: 4.830, 换手率: 0.73
日期: 2026-03-10 ,今开: 182.140, 今收: 184.510, 今天最高: 186.180, 今天最低: 181.750, 成交量: 179118528, 成交额: 33068158464.000, 振幅: 2.43,涨跌百分比开始值: 1.16, 涨跌百分比的结束值: 2.120, 换手率: 0.74
日期: 2026-03-11 ,今开: 185.660, 今收: 185.780, 今天最高: 187.370, 今天最低: 184.200, 成交量: 145280386, 成交额: 27007430144.000, 振幅: 1.72,涨跌百分比开始值: 0.69, 涨跌百分比的结束值: 1.270, 换手率: 0.60
日期: 2026-03-12 ,今开: 183.800, 今收: 182.890, 今天最高: 184.690, 今天最低: 181.500, 成交量: 155762663, 成交额: 28562500352.000, 振幅: 1.72,涨跌百分比开始值: -1.56, 涨跌百分比的结束值: -2.890, 换手率: 0.64
日期: 2026-03-13 ,今开: 184.670, 今收: 180.000, 今天最高: 185.840, 今天最低: 179.690, 成交量: 160988424, 成交额: 29308879616.000, 振幅: 3.36,涨跌百分比开始值: -1.58, 涨跌百分比的结束值: -2.890, 换手率: 0.66
日期: 2026-03-16 ,今开: 182.720, 今收: 182.970, 今天最高: 188.630, 今天最低: 181.160, 成交量: 217307380, 成交额: 40023702784.000, 振幅: 4.15,涨跌百分比开始值: 1.65, 涨跌百分比的结束值: 2.970, 换手率: 0.89
日期: 2026-03-17 ,今开: 184.810, 今收: 181.680, 今天最高: 185.150, 今天最低: 181.430, 成交量: 182497757, 成交额: 33344730112.000, 振幅: 2.03,涨跌百分比开始值: -0.71, 涨跌百分比的结束值: -1.290, 换手率: 0.75
日期: 2026-03-18 ,今开: 182.230, 今收: 180.150, 今天最高: 183.130, 今天最低: 180.080, 成交量: 156683136, 成交额: 28497513728.000, 振幅: 1.68,涨跌百分比开始值: -0.84, 涨跌百分比的结束值: -1.530, 换手率: 0.64
日期: 2026-03-19 ,今开: 177.760, 今收: 178.310, 今天最高: 179.730, 今天最低: 175.535, 成交量: 170968527, 成交额: 30460098560.000, 振幅: 2.33,涨跌百分比开始值: -1.02, 涨跌百分比的结束值: -1.840, 换手率: 0.70
日期: 2026-03-20 ,今开: 177.750, 今收: 172.450, 今天最高: 178.010, 今天最低: 171.470, 成交量: 241323528, 成交额: 42137936384.000, 振幅: 3.67,涨跌百分比开始值: -3.29, 涨跌百分比的结束值: -5.860, 换手率: 0.99
日期: 2026-03-23 ,今开: 177.005, 今收: 175.390, 今天最高: 178.120, 今天最低: 174.510, 成交量: 182836294, 成交额: 32260040960.000, 振幅: 2.09,涨跌百分比开始值: 1.70, 涨跌百分比的结束值: 2.940, 换手率: 0.75
日期: 2026-03-24 ,今开: 174.580, 今收: 174.950, 今天最高: 175.970, 今天最低: 173.730, 成交量: 147667844, 成交额: 25867403520.000, 振幅: 1.28,涨跌百分比开始值: -0.25, 涨跌百分比的结束值: -0.440, 换手率: 0.61
日期: 2026-03-25 ,今开: 176.850, 今收: 178.430, 今天最高: 180.970, 今天最低: 176.600, 成交量: 162602054, 成交额: 29128922624.000, 振幅: 2.50,涨跌百分比开始值: 1.99, 涨跌百分比的结束值: 3.480, 换手率: 0.67
日期: 2026-03-26 ,今开: 175.820, 今收: 170.990, 今天最高: 176.260, 今天最低: 170.890, 成交量: 186152232, 成交额: 32261617664.000, 振幅: 3.01,涨跌百分比开始值: -4.17, 涨跌百分比的结束值: -7.440, 换手率: 0.77
日期: 2026-03-27 ,今开: 169.750, 今收: 167.270, 今天最高: 170.720, 今天最低: 166.760, 成交量: 196212684, 成交额: 33067286784.000, 振幅: 2.32,涨跌百分比开始值: -2.18, 涨跌百分比的结束值: -3.720, 换手率: 0.81
日期: 2026-03-30 ,今开: 168.530, 今收: 164.920, 今天最高: 169.200, 今天最低: 164.020, 成交量: 185626992, 成交额: 30898091520.000, 振幅: 3.10,涨跌百分比开始值: -1.40, 涨跌百分比的结束值: -2.350, 换手率: 0.76
日期: 2026-03-31 ,今开: 166.720, 今收: 174.150, 今天最高: 174.370, 今天最低: 166.710, 成交量: 226181301, 成交额: 38937095168.000, 振幅: 4.64,涨跌百分比开始值: 5.60, 涨跌百分比的结束值: 9.230, 换手率: 0.93
日期: 2026-04-01 ,今开: 175.750, 今收: 175.500, 今天最高: 177.120, 今天最低: 174.500, 成交量: 168132005, 成交额: 29605236992.000, 振幅: 1.50,涨跌百分比开始值: 0.78, 涨跌百分比的结束值: 1.350, 换手率: 0.69
日期: 2026-04-02 ,今开: 171.930, 今收: 177.140, 今天最高: 177.240, 今天最低: 171.120, 成交量: 143143157, 成交额: 25130361600.000, 振幅: 3.49,涨跌百分比开始值: 0.93, 涨跌百分比的结束值: 1.640, 换手率: 0.59
日期: 2026-04-06 ,今开: 176.905, 今收: 177.390, 今天最高: 177.540, 今天最低: 175.510, 成交量: 107564279, 成交额: 19039718144.000, 振幅: 1.15,涨跌百分比开始值: 0.14, 涨跌百分比的结束值: 0.250, 换手率: 0.44
日期: 2026-04-07 ,今开: 175.475, 今收: 177.850, 今天最高: 177.980, 今天最低: 173.410, 成交量: 132534902, 成交额: 23352345088.000, 振幅: 2.58,涨跌百分比开始值: 0.26, 涨跌百分比的结束值: 0.460, 换手率: 0.55
日期: 2026-04-08 ,今开: 184.250, 今收: 181.830, 今天最高: 185.010, 今天最低: 180.050, 成交量: 147732686, 成交额: 26926187776.000, 振幅: 2.79,涨跌百分比开始值: 2.24, 涨跌百分比的结束值: 3.980, 换手率: 0.61
日期: 2026-04-09 ,今开: 181.590, 今收: 183.660, 今天最高: 183.830, 今天最低: 180.370, 成交量: 116428523, 成交额: 21303315200.000, 振幅: 1.90,涨跌百分比开始值: 1.01, 涨跌百分比的结束值: 1.830, 换手率: 0.48
日期: 2026-04-10 ,今开: 184.060, 今收: 188.380, 今天最高: 189.750, 今天最低: 184.050, 成交量: 160459524, 成交额: 30180909824.000, 振幅: 3.10,涨跌百分比开始值: 2.57, 涨跌百分比的结束值: 4.720, 换手率: 0.66
日期: 2026-04-13 ,今开: 185.780, 今收: 189.060, 今天最高: 189.410, 今天最低: 185.490, 成交量: 133648180, 成交额: 25164128512.000, 振幅: 2.08,涨跌百分比开始值: 0.36, 涨跌百分比的结束值: 0.680, 换手率: 0.55
日期: 2026-04-14 ,今开: 190.590, 今收: 196.260, 今天最高: 196.260, 今天最低: 190.520, 成交量: 161307010, 成交额: 31327738112.000, 振幅: 3.04,涨跌百分比开始值: 3.81, 涨跌百分比的结束值: 7.200, 换手率: 0.66
日期: 2026-04-15 ,今开: 196.290, 今收: 198.620, 今天最高: 200.150, 今天最低: 195.490, 成交量: 185338388, 成交额: 36763358208.000, 振幅: 2.37,涨跌百分比开始值: 1.20, 涨跌百分比的结束值: 2.360, 换手率: 0.76
日期: 2026-04-16 ,今开: 197.180, 今收: 198.100, 今天最高: 199.600, 今天最低: 195.560, 成交量: 134012859, 成交额: 26549980160.000, 振幅: 2.03,涨跌百分比开始值: -0.26, 涨跌百分比的结束值: -0.520, 换手率: 0.55
日期: 2026-04-17 ,今开: 199.650, 今收: 201.430, 今天最高: 201.450, 今天最低: 199.020, 成交量: 160324416, 成交额: 32191886848.000, 振幅: 1.23,涨跌百分比开始值: 1.68, 涨跌百分比的结束值: 3.330, 换手率: 0.66
日期: 2026-04-20 ,今开: 199.730, 今收: 201.810, 今天最高: 201.920, 今天最低: 197.590, 成交量: 119381388, 成交额: 23882674944.000, 振幅: 2.15,涨跌百分比开始值: 0.19, 涨跌百分比的结束值: 0.380, 换手率: 0.49
日期: 2026-04-21 ,今开: 201.880, 今收: 199.630, 今天最高: 202.500, 今天最低: 198.750, 成交量: 107945302, 成交额: 21664100864.000, 振幅: 1.86,涨跌百分比开始值: -1.08, 涨跌百分比的结束值: -2.180, 换手率: 0.44
日期: 2026-04-22 ,今开: 200.740, 今收: 202.250, 今天最高: 202.250, 今天最低: 198.750, 成交量: 107501042, 成交额: 21650866176.000, 振幅: 1.75,涨跌百分比开始值: 1.31, 涨跌百分比的结束值: 2.620, 换手率: 0.44
日期: 2026-04-23 ,今开: 202.210, 今收: 199.390, 今天最高: 203.579, 今天最低: 196.971, 成交量: 113561830, 成交额: 22797872384.000, 振幅: 3.27,涨跌百分比开始值: -1.41, 涨跌百分比的结束值: -2.860, 换手率: 0.47
日期: 2026-04-24 ,今开: 199.710, 今收: 208.020, 今天最高: 210.700, 今天最低: 199.560, 成交量: 214134441, 成交额: 44398194432.000, 振幅: 5.59,涨跌百分比开始值: 4.33, 涨跌百分比的结束值: 8.630, 换手率: 0.88
日期: 2026-04-27 ,今开: 209.395, 今收: 216.360, 今天最高: 216.575, 今天最低: 207.130, 成交量: 187172421, 成交额: 39852351744.000, 振幅: 4.54,涨跌百分比开始值: 4.01, 涨跌百分比的结束值: 8.340, 换手率: 0.77
日期: 2026-04-28 ,今开: 209.240, 今收: 212.920, 今天最高: 214.480, 今天最低: 207.950, 成交量: 180275363, 成交额: 38148912896.000, 振幅: 3.02,涨跌百分比开始值: -1.59, 涨跌百分比的结束值: -3.440, 换手率: 0.74
日期: 2026-04-29 ,今开: 212.450, 今收: 209.000, 今天最高: 212.470, 今天最低: 207.326, 成交量: 123711821, 成交额: 25974670080.000, 振幅: 2.42,涨跌百分比开始值: -1.84, 涨跌百分比的结束值: -3.920, 换手率: 0.51
日期: 2026-04-30 ,今开: 209.680, 今收: 199.320, 今天最高: 210.050, 今天最低: 198.450, 成交量: 225239156, 成交额: 45369735936.000, 振幅: 5.55,涨跌百分比开始值: -4.63, 涨跌百分比的结束值: -9.680, 换手率: 0.93
日期: 2026-05-01 ,今开: 201.030, 今收: 198.200, 今天最高: 202.750, 今天最低: 196.870, 成交量: 128646996, 成交额: 25657722880.000, 振幅: 2.95,涨跌百分比开始值: -0.56, 涨跌百分比的结束值: -1.120, 换手率: 0.53
日期: 2026-05-04 ,今开: 199.250, 今收: 198.230, 今天最高: 201.480, 今天最低: 194.490, 成交量: 125368092, 成交额: 24803603968.000, 振幅: 3.53,涨跌百分比开始值: 0.02, 涨跌百分比的结束值: 0.030, 换手率: 0.52
日期: 2026-05-05 ,今开: 199.050, 今收: 196.250, 今天最高: 199.990, 今天最低: 195.780, 成交量: 113406620, 成交额: 22404032000.000, 振幅: 2.12,涨跌百分比开始值: -1.00, 涨跌百分比的结束值: -1.980, 换手率: 0.47
日期: 2026-05-06 ,今开: 199.640, 今收: 207.580, 今天最高: 208.015, 今天最低: 198.360, 成交量: 188362812, 成交额: 38663394304.000, 振幅: 4.92,涨跌百分比开始值: 5.77, 涨跌百分比的结束值: 11.330, 换手率: 0.78
日期: 2026-05-07 ,今开: 208.090, 今收: 211.250, 今天最高: 213.950, 今天最低: 206.250, 成交量: 168307873, 成交额: 35606697472.000, 振幅: 3.71,涨跌百分比开始值: 1.77, 涨跌百分比的结束值: 3.670, 换手率: 0.69
日期: 2026-05-08 ,今开: 212.780, 今收: 214.950, 今天最高: 217.550, 今天最低: 212.640, 成交量: 136421361, 成交额: 29406902528.000, 振幅: 2.32,涨跌百分比开始值: 1.75, 涨跌百分比的结束值: 3.700, 换手率: 0.56
日期: 2026-05-11 ,今开: 213.785, 今收: 219.190, 今天最高: 222.050, 今天最低: 213.640, 成交量: 160685774, 成交额: 35274247680.000, 振幅: 3.91,涨跌百分比开始值: 1.97, 涨跌百分比的结束值: 4.240, 换手率: 0.66
日期: 2026-05-12 ,今开: 218.295, 今收: 220.530, 今天最高: 223.500, 今天最低: 214.670, 成交量: 159176619, 成交额: 34900587520.000, 振幅: 4.03,涨跌百分比开始值: 0.61, 涨跌百分比的结束值: 1.340, 换手率: 0.66
日期: 2026-05-13 ,今开: 224.680, 今收: 225.580, 今天最高: 227.590, 今天最低: 221.315, 成交量: 150405386, 成交额: 33964013312.000, 振幅: 2.85,涨跌百分比开始值: 2.29, 涨跌百分比的结束值: 5.050, 换手率: 0.62
日期: 2026-05-14 ,今开: 229.600, 今收: 235.490, 今天最高: 236.290, 今天最低: 229.050, 成交量: 180782857, 成交额: 42315517184.000, 振幅: 3.21,涨跌百分比开始值: 4.39, 涨跌百分比的结束值: 9.910, 换手率: 0.75
日期: 2026-05-15 ,今开: 229.510, 今收: 225.070, 今天最高: 231.250, 今天最低: 223.990, 成交量: 180977639, 成交额: 41150454016.000, 振幅: 3.08,涨跌百分比开始值: -4.42, 涨跌百分比的结束值: -10.420, 换手率: 0.75
日期: 2026-05-18 ,今开: 229.620, 今收: 222.070, 今天最高: 229.750, 今天最低: 218.120, 成交量: 146280896, 成交额: 32605913344.000, 振幅: 5.17,涨跌百分比开始值: -1.33, 涨跌百分比的结束值: -3.000, 换手率: 0.60
日期: 2026-05-19 ,今开: 219.370, 今收: 220.360, 今天最高: 224.230, 今天最低: 217.660, 成交量: 140948207, 成交额: 31171706368.000, 振幅: 2.96,涨跌百分比开始值: -0.77, 涨跌百分比的结束值: -1.710, 换手率: 0.58
日期: 2026-05-20 ,今开: 222.930, 今收: 223.220, 今天最高: 225.880, 今天最低: 220.245, 成交量: 184201587, 成交额: 41144500224.000, 振幅: 2.56,涨跌百分比开始值: 1.30, 涨跌百分比的结束值: 2.860, 换手率: 0.76
日期: 2026-05-21 ,今开: 222.040, 今收: 219.260, 今天最高: 227.150, 今天最低: 217.680, 成交量: 203381760, 成交额: 44934910208.000, 振幅: 4.24,涨跌百分比开始值: -1.77, 涨跌百分比的结束值: -3.960, 换手率: 0.84
日期: 2026-05-22 ,今开: 220.654, 今收: 215.080, 今天最高: 220.760, 今天最低: 214.550, 成交量: 169275710, 成交额: 36705965568.000, 振幅: 2.83,涨跌百分比开始值: -1.91, 涨跌百分比的结束值: -4.180, 换手率: 0.70
日期: 2026-05-26 ,今开: 216.290, 今收: 214.610, 今天最高: 217.930, 今天最低: 211.750, 成交量: 187202576, 成交额: 40212850688.000, 振幅: 2.87,涨跌百分比开始值: -0.22, 涨跌百分比的结束值: -0.470, 换手率: 0.77
日期: 2026-05-27 ,今开: 213.870, 今收: 212.350, 今天最高: 213.900, 今天最低: 208.530, 成交量: 167601172, 成交额: 35476344320.000, 振幅: 2.50,涨跌百分比开始值: -1.05, 涨跌百分比的结束值: -2.260, 换手率: 0.69
日期: 2026-05-28 ,今开: 211.025, 今收: 214.000, 今天最高: 215.269, 今天最低: 210.970, 成交量: 143996048, 成交额: 30743907072.000, 振幅: 2.02,涨跌百分比开始值: 0.78, 涨跌百分比的结束值: 1.650, 换手率: 0.60
日期: 2026-05-29 ,今开: 214.325, 今收: 210.890, 今天最高: 217.610, 今天最低: 210.880, 成交量: 289410624, 成交额: 61732106752.000, 振幅: 3.14,涨跌百分比开始值: -1.45, 涨跌百分比的结束值: -3.110, 换手率: 1.20
日期: 2026-06-01 ,今开: 215.480, 今收: 224.110, 今天最高: 224.620, 今天最低: 215.450, 成交量: 212850685, 成交额: 47141853440.000, 振幅: 4.35,涨跌百分比开始值: 6.27, 涨跌百分比的结束值: 13.220, 换手率: 0.88
日期: 2026-06-02 ,今开: 226.930, 今收: 222.570, 今天最高: 232.030, 今天最低: 221.100, 成交量: 193362903, 成交额: 43630317568.000, 振幅: 4.88,涨跌百分比开始值: -0.69, 涨跌百分比的结束值: -1.540, 换手率: 0.80
日期: 2026-06-03 ,今开: 221.470, 今收: 214.500, 今天最高: 222.570, 今天最低: 214.260, 成交量: 160907001, 成交额: 34820055808.000, 振幅: 3.73,涨跌百分比开始值: -3.63, 涨跌百分比的结束值: -8.070, 换手率: 0.66
日期: 2026-06-04 ,今开: 213.905, 今收: 218.660, 今天最高: 221.600, 今天最低: 210.970, 成交量: 169022152, 成交额: 36634606848.000, 振幅: 4.96,涨跌百分比开始值: 1.94, 涨跌百分比的结束值: 4.160, 换手率: 0.70
日期: 2026-06-05 ,今开: 214.530, 今收: 205.100, 今天最高: 214.870, 今天最低: 204.330, 成交量: 219655531, 成交额: 45745009152.000, 振幅: 4.82,涨跌百分比开始值: -6.20, 涨跌百分比的结束值: -13.560, 换手率: 0.91
日期: 2026-06-08 ,今开: 210.180, 今收: 208.640, 今天最高: 210.470, 今天最低: 206.000, 成交量: 138372837, 成交额: 28829653504.000, 振幅: 2.18,涨跌百分比开始值: 1.73, 涨跌百分比的结束值: 3.540, 换手率: 0.57
日期: 2026-06-09 ,今开: 210.615, 今收: 208.190, 今天最高: 211.400, 今天最低: 199.340, 成交量: 180962450, 成交额: 37227844352.000, 振幅: 5.78,涨跌百分比开始值: -0.22, 涨跌百分比的结束值: -0.450, 换手率: 0.75
日期: 2026-06-10 ,今开: 204.430, 今收: 200.420, 今天最高: 207.220, 今天最低: 199.920, 成交量: 161746587, 成交额: 32825836544.000, 振幅: 3.51,涨跌百分比开始值: -3.73, 涨跌百分比的结束值: -7.770, 换手率: 0.67
日期: 2026-06-11 ,今开: 201.490, 今收: 204.870, 今天最高: 205.660, 今天最低: 199.540, 成交量: 158643204, 成交额: 32202022400.000, 振幅: 3.05,涨跌百分比开始值: 2.22, 涨跌百分比的结束值: 4.450, 换手率: 0.66
日期: 2026-06-12 ,今开: 204.860, 今收: 205.190, 今天最高: 207.070, 今天最低: 203.439, 成交量: 112345314, 成交额: 23043493632.000, 振幅: 1.77,涨跌百分比开始值: 0.16, 涨跌百分比的结束值: 0.320, 换手率: 0.46
日期: 2026-06-15 ,今开: 208.920, 今收: 212.450, 今天最高: 212.711, 今天最低: 208.340, 成交量: 149936688, 成交额: 31687371008.000, 振幅: 2.13,涨跌百分比开始值: 3.54, 涨跌百分比的结束值: 7.260, 换手率: 0.62
日期: 2026-06-16 ,今开: 211.180, 今收: 207.410, 今天最高: 211.490, 今天最低: 207.290, 成交量: 125694100, 成交额: 26240560640.000, 振幅: 1.98,涨跌百分比开始值: -2.37, 涨跌百分比的结束值: -5.040, 换手率: 0.52
日期: 2026-06-17 ,今开: 208.530, 今收: 204.650, 今天最高: 209.210, 今天最低: 203.080, 成交量: 128363473, 成交额: 26459533824.000, 振幅: 2.96,涨跌百分比开始值: -1.33, 涨跌百分比的结束值: -2.760, 换手率: 0.53
日期: 2026-06-18 ,今开: 207.330, 今收: 210.690, 今天最高: 211.390, 今天最低: 206.500, 成交量: 241272013, 成交额: 50608662528.000, 振幅: 2.39,涨跌百分比开始值: 2.95, 涨跌百分比的结束值: 6.040, 换手率: 1.00
